name,lat,lng,municipality,ngbe_type,ngbe_code,source,date,arcgis_objectid
Astrana,43.202087,-3.561522,SOBA,NGBE,2.1.4,,,13350
Avellanedo,43.072510,-4.524414,PESAGUERO,NGBE,2.1.4,,,13352
Azoños,43.430114,-3.908509,SANTA CRUZ DE BEZANA,NGBE,2.1.4,,,13353
Bada,43.090412,-4.675272,VEGA DE LIÉBANA,Histórico,2.1.9,,,322678
Bádames,43.355062,-3.496931,VOTO,NGBE,2.1.4,,,13354
Bádames,43.355062,-3.496931,VOTO,NGBE,2.1.3,,,13963
Balbacienta,43.358276,-3.312377,GURIEZO,NGBE,2.1.9,,,5286
Baltezana,43.341130,-3.171232,CASTRO-URDIALES,NGBE,2.1.9,,,5290
Bárago,43.071608,-4.623460,VEGA DE LIÉBANA,NGBE,2.1.4,,,13356
Baranda,43.446715,-3.528070,ESCALANTE,NGBE,2.1.9,,,5293
Bárcena,43.135125,-4.712912,CAMALEÑO,NGBE,2.1.9,,,699
Bárcena,43.284729,-3.437926,RAMALES DE LA VICTORIA,NGBE,2.1.6,,,5307
Bárcena,43.186523,-3.900879,SANTIURDE DE TORANZO,NGBE,2.1.4,,,13357
Bárcena,43.125498,-4.057998,Varios o fuera de Cantabria,NGBE,2.1.4,,,13358
Bárcena de Carriedo,43.245483,-3.828613,VILLACARRIEDO,NGBE,2.1.4,,,13360
Bárcena de Cudón,43.410705,-3.996217,MIENGO,NGBE,2.1.4,,,13362
Bárcena de Ebro,42.852479,-4.035523,VALDERREDIBLE,NGBE,2.1.4,,,13363
Bárcena de Pie de Concha,43.125498,-4.057998,Varios o fuera de Cantabria,NGBE,2.1.9,,,700
Bárcena de Pie de Concha,43.125498,-4.057998,Varios o fuera de Cantabria,NGBE,2.1.3,,,13971
Bárcena Mayor,43.143310,-4.193725,TOJOS (LOS),NGBE,2.1.4,,,13364
Barcenaciones,43.344116,-4.148682,REOCÍN,NGBE,2.1.4,,,13365
Barcenilla,43.388305,-3.955079,PIÉLAGOS,NGBE,2.1.4,,,13366
Barcenillas,43.241699,-4.283996,RUENTE,NGBE,2.1.9,,,5314
Bareyo,43.468077,-3.600274,BAREYO,NGBE,2.1.4,,,13367
Baró,43.152710,-4.681580,CAMALEÑO,NGBE,2.1.4,,,13368
Barreda,43.086487,-4.552979,PESAGUERO,NGBE,2.1.9,,,5393
Barreda,43.368193,-4.043315,TORRELAVEGA,NGBE,2.1.4,,,13369
Barrio,43.009888,-4.229796,HERMANDAD DE CAMPOO DE SUSO,NGBE,2.1.9,https://pares.cultura.gob.es/catastro/servlets/ServletController?mapas=0&accion=1&volver=0&txtBusqueda=Barrio&tipo=0&tipolocal=-1&provact=39&Buscar=Buscar,1749-1753,712
